Model,Phase,MAE,RMSE,MAPE
VAR,Training,0.2744525518397079,0.5305333200941185,8.084165069177143
VAR,Testing,1.8641376086057646,1.9735498054545624,1017.4335735436875
SARIMAX,Training,0.33447522184529804,0.5871022860869951,11.619493285863017
SARIMAX,Testing,0.85643306718129,1.0647944535252045,475.50005438372597
